Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
09-AUG-2024,24386.85,24419.75,24311.2,24367.5,215129992,22339.19
12-AUG-2024,24320.05,24472.8,24212.1,24347,279925100,30311.85
13-AUG-2024,24342.35,24359.95,24116.5,24139,239727640,25459.58
14-AUG-2024,24184.4,24196.5,24099.7,24143.75,303254705,27834.61
16-AUG-2024,24334.85,24563.9,24204.5,24541.15,271611087,28521.9
19-AUG-2024,24636.35,24638.8,24522.95,24572.65,243645503,22124.41
20-AUG-2024,24648.9,24734.3,24607.2,24698.85,238318940,25478.73
21-AUG-2024,24680.55,24787.95,24654.5,24770.2,257114212,27404.63
22-AUG-2024,24863.4,24867.35,24784.45,24811.5,220345125,24227.03
23-AUG-2024,24845.4,24858.4,24771.65,24823.15,206800655,23134.22
26-AUG-2024,24906.1,25043.8,24874.7,25010.6,210266456,22166.86
27-AUG-2024,25024.8,25073.1,24973.65,25017.75,223346636,26695
28-AUG-2024,25030.8,25129.6,24964.65,25052.35,220419448,26994.19
29-AUG-2024,25035.3,25192.9,24998.5,25151.95,353993900,43221.73
30-AUG-2024,25249.7,25268.35,25199.4,25235.9,638166179,89554.91
02-SEP-2024,25333.6,25333.65,25235.5,25278.7,222815249,28187.71
03-SEP-2024,25313.4,25321.7,25235.8,25279.85,212131921,27276.14
04-SEP-2024,25089.95,25216,25083.8,25198.7,253788501,26293.35
05-SEP-2024,25250.5,25275.45,25127.75,25145.1,222242223,26272.38
06-SEP-2024,25093.7,25168.75,24801.3,24852.15,311671856,33001.17
09-SEP-2024,24823.4,24957.5,24753.15,24936.4,254367252,25180.28
10-SEP-2024,24999.4,25130.5,24896.8,25041.1,251274802,27846.31
11-SEP-2024,25034,25113.7,24885.15,24918.45,279229206,29395.73
12-SEP-2024,25059.65,25433.35,24941.45,25388.9,380069653,41747.91
13-SEP-2024,25430.45,25430.5,25292.45,25356.5,250781898,25530.69
16-SEP-2024,25406.65,25445.7,25336.2,25383.75,168694880,18705.01
17-SEP-2024,25416.9,25441.65,25352.25,25418.55,215956868,25280.83
18-SEP-2024,25402.4,25482.2,25285.55,25377.55,215727159,28832
19-SEP-2024,25487.05,25611.95,25376.05,25415.8,314461263,34389.27
20-SEP-2024,25525.95,25849.25,25426.6,25790.95,533067422,68915.27
23-SEP-2024,25872.55,25956,25847.35,25939.05,209187756,24825.74
24-SEP-2024,25921.45,26011.55,25886.85,25940.4,384115033,35573.63
25-SEP-2024,25899.45,26032.8,25871.35,26004.15,278540972,27868.08
26-SEP-2024,26005.4,26250.9,25998.4,26216.05,370895477,40838.36
27-SEP-2024,26248.25,26277.35,26151.4,26178.95,490332370,55420.63
30-SEP-2024,26061.3,26134.7,25794.1,25810.85,375370974,36028.06
01-OCT-2024,25788.45,25907.6,25739.2,25796.9,247423786,27473.29
03-OCT-2024,25452.85,25639.45,25230.3,25250.1,423395030,45689.5
04-OCT-2024,25181.9,25485.05,24966.8,25014.6,374914801,42719.71
07-OCT-2024,25084.1,25143,24694.35,24795.75,374345795,40550.24
08-OCT-2024,24832.2,25044,24756.8,25013.15,333220055,33493.36
09-OCT-2024,25065.8,25234.05,24947.7,24981.95,290562844,30877.63
10-OCT-2024,25067.05,25134.05,24979.4,24998.45,261364749,28046.45
11-OCT-2024,24985.3,25028.65,24920.05,24964.25,210462717,21734.97
14-OCT-2024,25023.45,25159.75,25017.5,25127.95,206423311,21270.9
15-OCT-2024,25186.3,25212.05,25008.15,25057.35,257228772,29113.88
16-OCT-2024,25008.55,25093.4,24908.45,24971.3,226774456,24115.83
17-OCT-2024,25027.4,25029.5,24728.9,24749.85,252755662,32606.34
18-OCT-2024,24664.95,24886.2,24567.65,24854.05,290855392,31772.76
21-OCT-2024,24956.15,24978.3,24679.6,24781.1,241978957,32207.22
22-OCT-2024,24798.65,24882,24445.8,24472.1,279484697,32801.59
23-OCT-2024,24378.15,24604.25,24378.1,24435.5,284556771,31928.1
24-OCT-2024,24412.7,24480.65,24341.2,24399.4,216686434,27817.66
25-OCT-2024,24418.05,24440.25,24073.9,24180.8,372642214,37068.91
28-OCT-2024,24251.1,24492.6,24134.9,24339.15,278562235,28136.06
29-OCT-2024,24328.85,24484.5,24140.85,24466.85,332044690,35579.48
30-OCT-2024,24371.45,24498.2,24307.3,24340.85,285196335,31068.7
31-OCT-2024,24349.85,24372.45,24172.6,24205.35,287007588,33403.89
01-NOV-2024,24302.75,24368.25,24280.2,24304.35,38811387,3348.45
04-NOV-2024,24315.75,24316.75,23816.15,23995.35,285531635,31561.52
05-NOV-2024,23916.5,24229.05,23842.75,24213.3,289511197,30074.77
06-NOV-2024,24308.75,24537.6,24204.05,24484.05,351082031,34108.84
07-NOV-2024,24489.6,24503.35,24179.05,24199.35,322185588,30971.89
08-NOV-2024,24207.7,24276.15,24066.65,24148.2,298725122,27670.3
11-NOV-2024,24087.25,24336.8,24004.6,24141.3,273370562,26600.28
12-NOV-2024,24225.8,24242,23839.15,23883.45,255825829,26852.73
13-NOV-2024,23822.45,23873.6,23509.6,23559.05,304569316,27765.81
14-NOV-2024,23542.15,23675.9,23484.15,23532.7,257708474,24814.37
18-NOV-2024,23605.3,23606.8,23350.4,23453.8,263311912,25257.33
19-NOV-2024,23529.55,23780.65,23464.8,23518.5,297477279,30486.78
21-NOV-2024,23488.45,23507.3,23263.15,23349.9,420332354,40900.89
22-NOV-2024,23411.8,23956.1,23359,23907.25,367562789,39257.52
25-NOV-2024,24253.55,24351.55,24135.45,24221.9,687172787,85975.81
26-NOV-2024,24343.3,24343.3,24125.4,24194.5,230691771,24140.67
27-NOV-2024,24204.8,24354.55,24145.65,24274.9,295011445,31149.09
28-NOV-2024,24274.15,24345.75,23873.35,23914.15,366745300,41198.27
29-NOV-2024,23927.15,24188.45,23927.15,24131.1,282104071,30509.98
02-DEC-2024,24140.85,24301.7,24008.65,24276.05,220384187,23162.75
03-DEC-2024,24367.5,24481.35,24280,24457.15,339470947,34228.3
04-DEC-2024,24488.75,24573.2,24366.3,24467.45,348003156,34639.78
05-DEC-2024,24539.15,24857.75,24295.55,24708.4,361469920,40471.33
06-DEC-2024,24729.45,24751.05,24620.5,24677.8,226731303,23904.13
09-DEC-2024,24633.9,24705,24580.05,24619,248139308,25099.79
